time,throttle,brake,speed,x,y
0,0,0.454719,-0.000229,0,0
0.05,0,0.454719,-0.000229,0,0
0.1,0,0.454719,-0.000229,0,0
0.15,0,0.454719,-0.000229,-8.71847624477062e-16,1.19306691262477e-14
0.2,0,0.454719,-0.000229,-8.71847624477062e-16,1.19306691262477e-14
0.25,0,0.454719,-0.000229,-8.71847624477062e-16,1.19306691262477e-14
0.3,0,0.454719,-0.000229,-2.3767337924141e-15,4.82459124734325e-15
0.35,0,0.454719,-0.000229,-2.3767337924141e-15,4.82459124734325e-15
0.4,0,0.334173,-0.000229,8.53483950180589e-16,5.77099132370584e-15
0.45,0,4.70959074798387,-0.000229,8.53483950180589e-16,5.77099132370584e-15
0.5,0,5.45100008218216,-0.000229,4.16606040030271e-15,1.76776995819417e-14
0.55,0,6.37652113440515,-0.000229,4.16606040030271e-15,1.76776995819417e-14
0.6,0,6.83566601131542,-0.000229,4.16606040030271e-15,1.76776995819417e-14
0.65,0,7.30890902859381,-0.000229,1.96820641382156e-15,-5.36354814728579e-15
0.7,0,7.283131,-0.000229,1.96820641382156e-15,-5.36354814728579e-15
0.75,0,7.364004,-0.000229,1.96820641382156e-15,-5.36354814728579e-15
0.8,0,7.14490718000623,-0.000229,1.49560268683513e-15,5.85274016751125e-15
0.85,0,7.00214609495056,-0.000229,1.49560268683513e-15,5.85274016751125e-15
0.9,0,6.83006259929656,-0.000229,1.49560268683513e-15,5.85274016751125e-15
0.95,0,6.77958707497946,-0.000229,-5.78164361005051e-16,8.37150444452095e-15
1,0,6.62128767703349,-0.000229,-5.78164361005051e-16,8.37150444452095e-15
1.05,0,6.48389691495584,-0.000229,-5.78164361005051e-16,8.37150444452095e-15
1.1,0,6.20639322737819,-0.000229,-5.78164361005051e-16,8.37150444452095e-15
1.15,0,5.95497299442332,-0.000229,4.16606040030271e-15,1.76776995819417e-14
1.2,0,5.7014140091668,-0.000229,4.16606040030271e-15,1.76776995819417e-14
1.25,0,5.38809835351304,-0.000229,4.16606040030271e-15,1.76776995819417e-14
1.3,0,5.0139805244476,-0.000229,-2.3767337924141e-15,4.82459124734325e-15
1.35,0,4.38971120085929,-0.000229,-2.3767337924141e-15,4.82459124734325e-15
1.4,0,4.3008097102034,-0.000229,-3.04433128012205e-15,-1.32879818259823e-14
1.45,0,4.06415939020957,-0.000229,-3.04433128012205e-15,-1.32879818259823e-14
1.5,0,3.85898865607196,-0.000229,-3.04433128012205e-15,-1.32879818259823e-14
1.55,0,3.68410493917674,-0.000229,-2.48228087390556e-15,1.97975316695853e-15
1.6,0,3.62166980533333,-0.000229,-2.48228087390556e-15,1.97975316695853e-15
1.65,0,3.60198567574434,-0.000229,-2.48228087390556e-15,1.97975316695853e-15
1.7,0,3.61199908132406,-0.000229,-2.48228087390556e-15,1.97975316695853e-15
1.75,0,3.556878,-0.000229,7.38558519897126e-16,1.67357447344862e-15
1.8,0,3.37518714515281,-0.000229,7.38558519897126e-16,1.67357447344862e-15
1.85,0,3.3270212835621,-0.000229,7.38558519897126e-16,1.67357447344862e-15
1.9,0,3.2788554219714,-0.000229,2.07380770542165e-15,-2.51860164668383e-15
1.95,0,2.94904189222655,-0.000229,2.07380770542165e-15,-2.51860164668383e-15
2,0,2.4022201638681,-0.000229,2.07380770542165e-15,-2.51860164668383e-15
2.05,0,1.29579314300744,-0.000229,1.23653257771972e-15,8.48735144665103e-15
2.1,0,0.644257587816536,-0.000229,1.23653257771972e-15,8.48735144665103e-15
2.15,0,0.369675526352427,-0.000229,1.23653257771972e-15,8.48735144665103e-15
2.2,0,0.00469541125588517,-0.000229,7.47801343417565e-16,2.92637008375563e-15
2.25,0,0,-0.000229,7.47801343417565e-16,2.92637008375563e-15
2.3,0,0,-0.000229,7.47801343417565e-16,2.92637008375563e-15
2.35,0,0,-0.000229,-0.0792849137845453,5.06797525820502e-10
2.4,0,0,-0.000229,-0.0792849137845453,5.06797525820502e-10
2.45,0,0,-0.000229,-0.0792849137845453,5.06797525820502e-10
2.5,0,0,-0.000229,-0.0792849137299465,5.06797096476441e-10
2.55,0,0,-0.000229,-0.0792849137299465,5.06797096476441e-10
2.6,0,0,-0.000229,-0.0792849137299465,5.06797096476441e-10
2.65,0,0,-0.000229,-0.0792849137162961,5.06791789089966e-10
2.7,0,0,-0.000229,-0.0792849137162961,5.06791789089966e-10
2.75,0,0,-0.000229,-0.0792849137162961,5.06791789089966e-10
2.8,0,0,-0.000229,-0.0792849135413181,5.06788378244142e-10
2.85,0,0.0588027164948466,-0.000229,-0.0792849135413181,5.06788378244142e-10
2.9,0,0,-0.000229,-0.0792849135413181,5.06788378244142e-10
2.95,0.00269532971165905,0.00955178748596531,-0.000229,-0.0792849135450397,5.06795178251748e-10
3,0.0249434545276937,0,-0.000229,-0.0792849135450397,5.06795178251748e-10
3.05,0.0407122846517239,0,-0.000229,-0.0792849135450397,5.06795178251748e-10
3.1,0.0650012988843218,0,-0.000190516189161209,-0.0792849134743033,5.06804443030362e-10
3.15,0.0920742709652902,0,0.00895131078894598,-0.0792849134743033,5.06804443030362e-10
3.2,0.108500487040851,0.0095363968042613,0.0624343141969103,-0.0792849133911615,5.06791089996406e-10
3.25,0.114544085085546,0.00747644843598659,0.0922522617522527,-0.0792849133911615,5.06791089996406e-10
3.3,0.133812754727102,0,0.121856575445174,-0.0792849134259083,5.06795284557771e-10
3.35,0.142686745713455,0.00585273604651177,0.18443909134092,-0.0792849134259083,5.06795284557771e-10
3.4,0.142997202984774,0,0.243606383857298,-0.0792849134259083,5.06795284557771e-10
3.45,0.142857769503187,0,0.287521306106343,2.45693764812371e-15,1.97758476261356e-16
3.5,0.143315110692967,0,0.349509580070531,2.45693764812371e-15,1.97758476261356e-16
3.55,0.145793134146341,0,0.385752384604706,2.45693764812371e-15,1.97758476261356e-16
3.6,0.144512939439162,0,0.454230975287156,2.07380770542165e-15,-2.51860164668383e-15
3.65,0.142835883786054,0,0.501290079553182,2.07380770542165e-15,-2.51860164668383e-15
3.7,0.141985890171286,0,0.559376177872805,2.07380770542165e-15,-2.51860164668383e-15
3.75,0.139350825878757,0,0.612736611738922,0.07928491340779,2.69049678369715e-11
3.8,0.138973825660826,0,0.660544486464755,0.07928491340779,2.69049678369715e-11
3.85,0.134771172038263,0,0.719316240697675,0.07928491340779,2.69049678369715e-11
3.9,0.134157150200062,0,0.769496390757966,0.158569826675252,2.03679644417837e-09
3.95,0.13422049269925,0,0.824553439873418,0.158569826675252,2.03679644417837e-09
4,0.134160990925964,0,0.869344077196446,0.237854740117104,4.06838203403925e-09
4.05,0.134762689845631,0,0.925202839543471,0.237854740117104,4.06838203403925e-09
4.1,0.134961182961849,0,0.967152710644832,0.237854740117104,4.06838203403925e-09
4.15,0.133100708207786,0,1.01869060349174,0.317139653483663,7.60347232831721e-09
4.2,0.134775717962048,0,1.06951503191557,0.317139653483663,7.60347232831721e-09
4.25,0.132100434484336,0,1.12041148764605,0.317139653483663,7.60347232831721e-09
4.3,0.133005463428252,0,1.17830604017857,0.475709471917537,0.111129313205924
4.35,0.134252903958238,0,1.22403179192274,0.475709471917537,0.111129313205924
4.4,0.133000353601253,0,1.26482562547114,0.475709471917537,0.111129313205924
4.45,0.132289887852097,0,1.30905258732423,0.634279297018153,0.111129326893595
4.5,0.131266553319176,0,1.35515941152263,0.634279297018153,0.111129326893595
4.55,0.133530943181818,0,1.41376534940711,0.634279297018153,0.111129326893595
4.6,0.130454331101957,0,1.46940116872225,0.872134034426805,0.111129354372668
4.65,0.132708153685467,0,1.52074796569975,0.872134034426805,0.111129354372668
4.7,0.136182817336644,0,1.56440944349617,0.872134034426805,0.111129354372668
4.75,0.135960825454545,0,1.61583269802984,1.10998877039556,0.111129391212135
4.8,0.136942798388837,0,1.66388806497175,1.10998877039556,0.111129391212135
4.85,0.13569087659032,0,1.70366980286299,1.10998877039556,0.111129391212135
4.9,0.135951092394879,0,1.74223952229737,1.34784350436511,0.111129436525598
4.95,0.136495028269363,0,1.77479289054971,1.34784350436511,0.111129436525598
5,0.135840511795544,0,1.79800717949662,1.50641333002431,0.111129471325527
5.05,0.134748275159768,0,1.85520098557692,1.50641333002431,0.111129471325527
5.1,0.131566575989504,0,1.91702418157571,1.50641333002431,0.111129471325527
5.15,0.129670634307777,0,1.97292563069036,1.66498312563157,0.222258807374175
5.2,0.131160570133468,0,2.03159135964245,1.66498312563157,0.222258807374175
5.25,0.130649750110963,0,2.08305765359609,1.66498312563157,0.222258807374175
